DriverNumber,Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,TrackStatus,IsPersonalBest,IsAccurate,RaceNumber,Year,EventName,LapTime_RollingMean,LapTime_RollingStd,LapTime_CV,S1_Ratio,S2_Ratio,S3_Ratio,S1_Ratio_Std,S2_Ratio_Std,S3_Ratio_Std,SectorInconsistency_Score,LapInStint,StintProgress_Pct,LapTimeDelta_FromStintStart,FastestLap_Race,DeltaToFastest,PersonalBest,DeltaToPersonalBest,IsDegraded
1,VER,17.0,93.059,34.134,29.333,29.592,HARD,10.0,2.0,1,True,True,2,2024,Saudi Arabian Grand Prix,93.2202,0.17206161687017518,0.0018457546419142544,0.366799557270119,0.31520863108350616,0.31799181164637486,0.0007478539179129986,0.0006151182934677913,0.00036659172634897195,0.0005765213125765873,8,0.1951219512195122,-1.9650000000000034,91.632,1.4269999999999925,91.773,1.2860000000000014,0
1,VER,18.0,93.139,34.172,29.33,29.637,HARD,11.0,2.0,1,False,True,2,2024,Saudi Arabian Grand Prix,93.2192,0.17262879249991642,0.0018518587640734571,0.36689249401432267,0.3149056786093903,0.31820182737628705,0.00052480545576404,0.00046506921244499473,0.00037006111647778123,0.00045331192822893867,9,0.21951219512195122,-1.8850000000000051,91.632,1.5069999999999908,91.773,1.3659999999999997,0
1,VER,19.0,93.135,34.172,29.375,29.588,HARD,12.0,2.0,1,False,True,2,2024,Saudi Arabian Grand Prix,93.2074,0.17674925742412156,0.0018963006952679889,0.3669082514629301,0.3154023728995544,0.3176893756375154,0.00023583838326793804,0.00025677333890452734,0.00038035214470583394,0.0002909879556260998,10,0.24390243902439024,-1.8889999999999958,91.632,1.5030000000000001,91.773,1.362000000000009,0
1,VER,20.0,93.066,34.155,29.384,29.527,HARD,13.0,2.0,1,False,True,2,2024,Saudi Arabian Grand Prix,93.11819999999999,0.055656985185803115,0.0005977025456441719,0.3669976145960931,0.3157329207229278,0.3172694646809791,0.00023579176783718197,0.00030056484792024055,0.00041246651554452564,0.0003162743771006494,11,0.2682926829268293,-1.9579999999999984,91.632,1.4339999999999975,91.773,1.2930000000000064,0
1,VER,21.0,92.933,34.129,29.281,29.523,HARD,14.0,2.0,1,True,True,2,2024,Saudi Arabian Grand Prix,93.0664,0.08340743372127737,0.0008962142483353538,0.3672430675863256,0.3150764529284538,0.3176804794852205,0.0001689548772117541,0.0003184573001333754,0.0003537891409577848,0.0002804004394343048,12,0.2926829268292683,-2.090999999999994,91.632,1.301000000000002,91.773,1.1600000000000108,0
1,VER,22.0,92.98,34.195,29.241,29.544,HARD,15.0,2.0,1,False,True,2,2024,Saudi Arabian Grand Prix,93.0506,0.09218080060385694,0.0009906524042172424,0.36776726177672614,0.3144869864486986,0.31774575177457515,0.00036638701730553724,0.00047537841152688076,0.0003310091552006143,0.0003909248613443441,13,0.3170731707317073,-2.043999999999997,91.632,1.347999999999999,91.773,1.2070000000000078,0
1,VER,23.0,92.792,34.024,29.214,29.554,HARD,16.0,2.0,1,True,True,2,2024,Saudi Arabian Grand Prix,92.98120000000002,0.13130765400373035,0.001412195734231547,0.3666695404776274,0.31483317527373045,0.3184972842486421,0.00041736739116712287,0.00048460032437091605,0.0004456374060914424,0.0004492017072098271,14,0.34146341463414637,-2.2319999999999993,91.632,1.1599999999999966,91.773,1.0190000000000055,0
1,VER,24.0,92.683,33.956,29.191,29.536,HARD,17.0,2.0,1,True,True,2,2024,Saudi Arabian Grand Prix,92.8908,0.1527864522788436,0.0016447963875738352,0.36636707918388484,0.314955277666886,0.3186776431492291,0.0005378599371208747,0.00045678021689461555,0.0005923600191981092,0.0005290000577378665,15,0.36585365853658536,-2.340999999999994,91.632,1.051000000000002,91.773,0.9100000000000108,0
1,VER,25.0,92.785,34.12,29.17,29.495,HARD,18.0,2.0,1,False,True,2,2024,Saudi Arabian Grand Prix,92.8346,0.1205002074684983,0.001298009658774835,0.3677318532090316,0.3143827127229617,0.3178854340680067,0.000626870655858023,0.0002998571460990205,0.0004579842349303539,0.0004615706789624658,16,0.3902439024390244,-2.2390000000000043,91.632,1.1529999999999916,91.773,1.0120000000000005,0
1,VER,26.0,92.561,33.949,29.144,29.468,HARD,19.0,2.0,1,True,True,2,2024,Saudi Arabian Grand Prix,92.76020000000001,0.15457910596178254,0.001666437825293418,0.3667743434059701,0.31486263112974144,0.3183630254642884,0.0006453261244519795,0.00025264145823851344,0.0004008334442404238,0.0004329336756436389,17,0.4146341463414634,-2.462999999999994,91.632,0.929000000000002,91.773,0.7880000000000109,0
